"id_all","id_inpaper","id_original","year","month","date","ymonth","Headline","paper","wcount","Asahi","Yomiuri","jijistartdate","jijiymonth","cabinet","ldp","politics","codeN","train"
1365,706,841,1988,3,3,198803,"「減税は恒久財源の確保が条件」　自民が回答、野党は拒否　国会週内空転も ","Y",1203,NA,1,10,198802,0,1,1,NA,0
1366,707,842,1988,3,3,198803,"野党の減税要求に対する自民党の回答内容 ","Y",251,NA,1,10,198802,0,1,1,0,1
1387,716,853,1988,3,5,198803,"減税、きょう５日にも再回答　恒久財源の条件削る／自民党 ","Y",690,NA,1,10,198802,0,1,1,NA,0
1388,717,854,1988,3,5,198803,"暫定予算の公算大　政府・自民党筋が見通し ","Y",184,NA,1,10,198802,1,1,1,NA,0
1393,674,931,1988,3,6,198803,"６３年度減税と新型間接税、「切り離し」も示唆　自民首脳","A",1249,1,NA,10,198802,0,1,0,NA,0
1399,722,860,1988,3,6,198803,"予算修正、野党要求へ自民が再回答　「減税」、週明けがヤマ ","Y",840,NA,1,10,198802,0,1,1,NA,0
1418,732,872,1988,3,8,198803,"減税折衝、決着持ち越す　税不公平是正も協議　最終回答を自民提示 ","Y",1388,NA,1,10,198802,0,1,0,NA,0
1421,735,877,1988,3,8,198803,"減税の財源探しは不公平税制是正から着手　自民党首脳、最終回答で説明 ","Y",233,NA,1,10,198802,0,1,1,NA,0
1463,709,980,1988,3,12,198803,"政治献金、大企業は枠倍増　自民小委が改正案骨子","A",674,1,NA,10,198803,0,1,1,NA,0
1469,758,903,1988,3,12,198803,"企業献金の最高限度額は２億円　政治資金、自民小委の改正案固まる ","Y",1638,NA,1,10,198803,0,1,1,NA,0
1492,722,998,1988,3,15,198803,"減税財源の思惑に違い　与野党初協議、自民は「間接税含む」","A",670,1,NA,10,198803,0,1,1,NA,0
1540,789,942,1988,3,19,198803,"政治資金パーティー、政治団体に限定　閣僚、党四役は自粛／自民の規制素案 ","Y",993,NA,1,10,198803,1,1,1,NA,0
1584,808,965,1988,3,24,198803,"所得減税２兆円超　自民税調が方針 ","Y",514,NA,1,10,198803,0,1,0,NA,0
1588,778,1078,1988,3,25,198803,"大規模パーティー主催、政治団体に限定　自民小委が法改正要綱","A",1137,1,NA,10,198803,0,1,1,NA,0
1596,816,975,1988,3,25,198803,"自民党の河本敏夫氏倒れ、入院　脳卒中の前兆症状で ","Y",429,NA,1,10,198803,0,1,1,NA,0
1635,835,999,1988,3,29,198803,"減税財源で自民の対応に反発　野党きょう２９日審議拒否 ","Y",1045,NA,1,10,198803,0,1,1,NA,0
1640,802,1113,1988,3,30,198803,"自民、３兆円減税を回答　野党、間接税警戒し反発","A",1230,1,NA,10,198803,0,1,1,NA,0
1643,839,1005,1988,3,30,198803,"減税協議、３０日決着へ　「規模、財源を撤回」　最終回答で自民党が譲歩固める ","Y",1405,NA,1,10,198803,0,1,1,NA,0
1647,843,1009,1988,3,30,198803,"牛肉・オレンジ自由化問題で　安倍幹事長が米の態度を批判 ","Y",180,NA,1,10,198803,0,1,0,NA,0
1673,819,1137,1988,4,2,198804,"６３年度減税の与野党折衝、自民が規模示さず物別れ　","A",1016,1,NA,10,198803,0,1,0,NA,0
1676,855,1025,1988,4,2,198804,"減税与野党協議が決裂、暫定予算に　自民、規模示さず ","Y",1512,NA,1,10,198803,0,1,0,NA,0
1699,831,1155,1988,4,5,198804,"退職金・賞与引当金の圧縮に財界が反対表明　自民と懇談会","A",684,1,NA,10,198803,0,1,0,NA,0
1703,835,1159,1988,4,5,198804,"自民税調、きょうから業界聴取　税改革へ本格始動","A",1372,1,NA,10,198803,0,1,0,NA,0
1732,885,1061,1988,4,7,198804,"野党に減税協議の継続を呼びかけ／自民党 ","Y",245,NA,1,10,198803,0,1,1,0,1
1774,870,1206,1988,4,11,198804,"自民党の新顔、陣内氏が当選　参院佐賀補選","A",641,1,NA,10,198804,0,1,1,NA,0
1778,906,1086,1988,4,11,198804,"参院佐賀補選、陣内孝雄氏（自民）が当選 ","Y",280,NA,1,10,198804,0,1,1,NA,0
1781,873,1211,1988,4,12,198804,"国会、きょう午後正常化の見込み　自民減税再回答で","A",483,1,NA,10,198804,0,1,1,NA,0
1794,915,1096,1988,4,12,198804,"国会、きょう１２日に正常化へ　野党に再回答　「減税」で自民党が譲歩案 ","Y",558,NA,1,10,198804,0,1,1,NA,0
1834,900,1248,1988,4,16,198804,"流通業界説得がカギ　自民税調聴取終了、連休明け素案詰め","A",940,1,NA,10,198804,0,1,0,NA,0
1840,938,1123,1988,4,16,198804,"自民税調、５月の連休明けに税制改革の素案　業界ヒアリング終わる ","Y",270,NA,1,10,198804,0,1,0,NA,0
1858,946,1133,1988,4,18,198804,"牛肉・オレンジ自由化　対米折衝、４月中の決着めざす／安倍幹事長 ","Y",317,NA,1,10,198804,0,1,0,NA,0
1859,947,1134,1988,4,18,198804,"牛肉・オレンジ自由化問題　月内決着を確認／竹下首相・安倍幹事長 ","Y",129,NA,1,10,198804,1,1,0,NA,0
1901,932,1292,1988,4,22,198804,"相続税の課税最低限、２倍程度に引き上げへ　自民税調方針","A",1085,1,NA,10,198804,0,1,0,NA,0
1902,970,1162,1988,4,22,198804,"相続税、課税最低限２倍に　減税規模５０００億円　最高税率７０％に／自民税調 ","Y",1003,NA,1,10,198804,0,1,0,NA,0
1904,972,1164,1988,4,22,198804,"牛肉自由化、輸入課徴金１００％以下　日本要求、米は難色　渡辺政調会長明かす ","Y",564,NA,1,10,198804,0,1,0,NA,0
1908,933,1294,1988,4,23,198804,"中小赤字法人に交際費課税も　自民税調検討へ","A",264,1,NA,10,198804,0,1,0,NA,0
1909,934,1297,1988,4,23,198804,"企業引当金　見直し、見送りの公算　自民税調が政府に反対","A",882,1,NA,10,198804,1,1,0,NA,0
1914,977,1170,1988,4,23,198804,"抜本税制改革、賞与引当金廃止は見送り／自民税調 ","Y",777,NA,1,10,198804,0,1,0,NA,0
1915,978,1171,1988,4,23,198804,"税制改革の「基本方針」２６日に決定／自民党税調が確認 ","Y",62,NA,1,10,198804,0,1,1,NA,0
1937,990,1185,1988,4,25,198804,"新間接税、「簡易課税」も検討　売上高に一定税率／自民税調 ","Y",1092,NA,1,10,198804,0,1,0,NA,0
1942,950,1317,1988,4,26,198804,"個人情報保護法案、きょう自民内手続き　開示促す権限は後退","A",1344,1,NA,10,198804,0,1,0,NA,0
1944,952,1321,1988,4,26,198804,"所得税率、「年収９００万円まで１０％」案浮上　自民税調","A",1001,1,NA,10,198804,0,1,0,NA,0
1947,994,1190,1988,4,26,198804,"税制改革、民社党との連携を示唆／渡辺政調会長 ","Y",357,NA,1,10,198804,0,1,0,NA,0
1955,957,1329,1988,4,27,198804,"中小赤字法人の交際費、課税で歯止め検討　自民税調決定","A",987,1,NA,10,198804,0,1,0,NA,0
1960,1001,1198,1988,4,27,198804,"２兆円を上回る減税　所得税率は５段階に　自民税調固める ","Y",570,NA,1,10,198804,0,1,0,NA,0
1965,962,1337,1988,4,28,198804,"自民税調、間接税導入を表明へ","A",686,1,NA,10,198804,0,1,0,NA,0
1974,966,1341,1988,4,29,198804,"改革「大綱」は骨格示す程度　山中自民税調会長が見通し","A",245,1,NA,10,198804,0,1,0,NA,0
1976,968,1345,1988,4,29,198804,"党内の意見を幅広く吸収　自民税調、作業の方針","A",342,1,NA,10,198804,0,1,0,NA,0
1978,970,1347,1988,4,29,198804,"現体制で税改革推進　内閣改造、当面ない　安倍幹事長表明","A",513,1,NA,10,198804,1,1,0,NA,0
2080,1062,1270,1988,5,8,198805,"不公平税制　自民税調が是正案固める　有価証券譲渡益は「申告分離課税」原則に ","Y",1284,NA,1,7,198805,0,1,0,NA,0
2083,1020,1418,1988,5,9,198805,"自民税調あす再開　間接税、帳簿方式軸に論議","A",926,1,NA,7,198805,0,1,0,NA,0
2091,1068,1277,1988,5,9,198805,"自民党税調　あす１０日から集中審議　新間接税の「大綱」難航も ","Y",874,NA,1,7,198805,0,1,1,NA,0
2138,1050,1456,1988,5,13,198805,"株売却益は分離課税　「源泉」「申告」の選択に　自民方針","A",567,1,NA,7,198805,0,1,0,NA,0
2141,1089,1303,1988,5,13,198805,"奥野国土庁長官、辞任確実に　「陳謝」での決着ムリ／政府・自民判断 ","Y",1378,NA,1,7,198805,1,1,0,NA,0
2149,1053,1461,1988,5,14,198805,"中小企業向け軽減税率をさらに下げ　自民税調方針","A",411,1,NA,7,198805,0,1,0,NA,0
2177,1110,1327,1988,5,16,198805,"森　美秀氏（自民党代議士、元環境庁長官）死去 ","Y",307,NA,1,7,198805,1,1,1,NA,0
2178,1111,1328,1988,5,16,198805,"森美秀氏（自民）死去（５月１５日）に伴う衆院の勢力分野 ","Y",89,NA,1,7,198805,0,1,1,NA,0
2180,1069,1484,1988,5,17,198805,"間接税の税率、大綱で具体化　自民政策担当首脳語る","A",317,1,NA,7,198805,0,1,0,NA,0
2183,1072,1487,1988,5,17,198805,"減税規模、政策担当者協議の場で明示か　自民党","A",1015,1,NA,7,198805,0,1,1,NA,0
2186,1112,1331,1988,5,17,198805,"減税、５兆円超す規模に　大綱策定２７日にも　自民税調固める ","Y",1457,NA,1,7,198805,0,1,0,NA,0
2187,1113,1332,1988,5,17,198805,"税制改革大綱に新型間接税の税率など盛る／自民党政策担当首脳 ","Y",356,NA,1,7,198805,0,1,1,NA,0
2191,1075,1492,1988,5,18,198805,"安倍自民幹事長が不満　不公平税制是正の見送り方針に","A",494,1,NA,7,198805,0,1,0,NA,0
2192,1076,1493,1988,5,18,198805,"減税規模は２０日に回答　自民、野党に約束","A",376,1,NA,7,198805,0,1,1,NA,0
2195,1079,1496,1988,5,18,198805,"自民税調　減税６兆円近くに　所得税など上積み確実　","A",595,1,NA,7,198805,0,1,0,NA,0
2204,1122,1342,1988,5,18,198805,"医師優遇税制見直す　経費率下げなど「不公平」批判を考慮／自民税調 ","Y",659,NA,1,7,198805,0,1,0,NA,0
2206,1083,1503,1988,5,19,198805,"６３年度減税、自民が「１兆２５５０億円」を打診　野党は拒否","A",435,1,NA,7,198805,0,1,1,NA,0
2208,1085,1505,1988,5,19,198805,"医師優遇税制の存続方針、見直す意向　自民税調会長","A",724,1,NA,7,198805,0,1,0,NA,0
2209,1086,1506,1988,5,19,198805,"最終決断は自民首脳に　大蔵省提示の新消費税税率＜解説＞","A",474,1,NA,7,198805,0,1,0,NA,0
2212,1124,1345,1988,5,19,198805,"新間接税、税率３％を上限に　「非課税」は最小限　政府・自民が方針固める ","Y",1152,NA,1,7,198805,1,1,0,NA,0
2213,1125,1346,1988,5,19,198805,"竹下首相・自民首脳が新型間接税で６月中旬に成案　７月国会も確認 ","Y",993,NA,1,7,198805,1,1,1,NA,0
2214,1126,1347,1988,5,19,198805,"医師優遇税見直し　自民税調・山中会長が明言 ","Y",307,NA,1,7,198805,0,1,0,NA,0
2221,1091,1513,1988,5,20,198805,"所得税１兆２５５０億円　自民党、きょう６３年度減税で回答","A",866,1,NA,7,198805,0,1,1,NA,0
2236,1136,1359,1988,5,21,198805,"新型間接税の免税点は１０００万円　簡易課税広く採用　自民、骨格固める ","Y",1793,NA,1,7,198805,0,1,0,NA,0
2251,1107,1535,1988,5,23,198805,"自民税調、非課税品目の詰めへ　大綱決めるヤマ場","A",878,1,NA,7,198805,0,1,0,NA,0
2261,1112,1544,1988,5,24,198805,"帳簿式の一般消費税型　自民税調、新型間接税で方針固まる","A",1601,1,NA,7,198805,0,1,0,NA,0
2262,1150,1377,1988,5,24,198805,"新型間接税は一般消費税型に決定　納税は原則年２回／自民税調 ","Y",1178,NA,1,7,198805,0,1,0,NA,0
2267,1114,1548,1988,5,25,198805,"自民税調、減税先行で新税促進　税制大綱、２７日決定は見送り","A",1403,1,NA,7,198805,0,1,0,0,1
2273,1156,1384,1988,5,25,198805,"新間接税　原則課税を確認／自民税調 ","Y",539,NA,1,7,198805,0,1,0,NA,0
2276,1118,1552,1988,5,26,198805,"物品・電気など８税目、新型間接税に吸収確認　自民税調小委","A",204,1,NA,7,198805,0,1,0,NA,0
2281,1159,1388,1988,5,26,198805,"有価証券譲渡益は株売買だけ課税　公社債、転換社債など非課税／自民税調決定 ","Y",1210,NA,1,7,198805,0,1,0,NA,0
2290,1164,1395,1988,5,27,198805,"医師優遇経費率を６０％台に引き下げ折衝／自民税調と日本医師会長 ","Y",864,NA,1,7,198805,0,1,0,NA,0
2291,1165,1396,1988,5,27,198805,"一般消費税型に簡易課税併用を確認　新型間接税で自民税調 ","Y",493,NA,1,7,198805,0,1,0,NA,0
2296,1170,1401,1988,5,27,198805,"非課税業者排除防止へ独禁法改正　新型間接税導入で自民税調会長意向 ","Y",347,NA,1,7,198805,0,1,0,NA,0
2305,1174,1406,1988,5,28,198805,"医師優遇税制見直し、３０日にも決着　山中自民税調・羽田日医会長会談へ ","Y",321,NA,1,7,198805,0,1,0,NA,0
2366,1162,1616,1988,6,3,198806,"株売却益の２０％課税　大型生協の法人税引き上げ　自民税調","A",1387,1,NA,10,198805,0,1,1,NA,0
2389,1215,1456,1988,6,5,198806,"新型間接税導入へ独禁法の弾力運用盛る　価格転嫁を円滑化／自民税調方針 ","Y",745,NA,1,10,198805,0,1,0,NA,0
2416,1185,1649,1988,6,8,198806,"たばこ消費税、従量税一本に　自民税調論議で固まる","A",293,1,NA,10,198805,0,1,0,NA,0
2431,1237,1482,1988,6,9,198806,"所得税、最低税率の対象を拡大　標準世帯は年収６６２万円に　自民税調固める ","Y",1467,NA,1,10,198805,0,1,0,NA,0
2435,1195,1663,1988,6,10,198806,"減税規模、５兆６０００億円　自民税調","A",409,1,NA,10,198806,0,1,0,NA,0
2444,1245,1491,1988,6,10,198806,"直接税の減税規模は５兆６０００億円　自民税調、大筋で了承 ","Y",437,NA,1,10,198806,0,1,0,NA,0
2451,1247,1495,1988,6,11,198806,"税制改革案の修正、自民やや柔軟に　野党と個別に党首会談 ","Y",804,NA,1,10,198806,0,1,1,NA,0
2453,1249,1497,1988,6,11,198806,"行政手数料、消費者は非課税／自民税調決定 ","Y",213,NA,1,10,198806,0,1,0,NA,0
2457,1206,1680,1988,6,12,198806,"「消費税」６４年４月実施　新型間接税で自民税調が大枠合意","A",1856,1,NA,10,198806,0,1,0,NA,0
2459,1208,1682,1988,6,12,198806,"５段階税率、６３年度から　抜本改革分を前倒し　政府・自民　","A",893,1,NA,10,198806,1,1,0,NA,0
2462,1254,1503,1988,6,12,198806,"新型間接税「３％は堅持」　自民首脳語る ","Y",203,NA,1,10,198806,0,1,0,NA,0
2463,1255,1504,1988,6,12,198806,"新型間接税、「税率３％」で大詰め調整　１４日に税制改革大綱／自民税調 ","Y",1819,NA,1,10,198806,0,1,0,NA,0
2470,1213,1689,1988,6,14,198806,"自民党税制改革大綱の全容","A",1563,1,NA,10,198806,0,1,1,NA,0
2471,1214,1690,1988,6,14,198806,"消費税率３％決着へ詰め　自民、税制改革大綱きょう決定","A",1281,1,NA,10,198806,0,1,0,NA,0
2473,1258,1508,1988,6,14,198806,"きょう１４日に税制改革大綱を決定　消費税率は３％に／自民税調 ","Y",1553,NA,1,10,198806,0,1,0,NA,0
2480,1217,1695,1988,6,15,198806,"「水平的公平」確保された　自民の税制改革大綱で竹下首相語る","A",244,1,NA,10,198806,1,1,0,NA,0
2482,1219,1697,1988,6,15,198806,"不公平なお温存　自民党の税制改革大綱＜解説＞","A",1083,1,NA,10,198806,0,1,1,NA,0
2483,1220,1698,1988,6,15,198806,"自民党の税制改革大綱・７つのポイント","A",399,1,NA,10,198806,0,1,1,NA,0
2486,1223,1701,1988,6,15,198806,"「消費税」来春導入めざす　自民党が税制改革大綱を決定","A",1920,1,NA,10,198806,0,1,1,NA,0
2487,1264,1515,1988,6,15,198806,"消費税３％、減税５兆６０００億円　自民が税制改革大綱決定　論戦、臨時国会へ ","Y",2833,NA,1,10,198806,0,1,1,NA,0
2494,1268,1520,1988,6,16,198806,"「消費税は将来ＥＣ型に」　政府税調、答申で明記　自民大綱を容認 ","Y",368,NA,1,10,198806,1,1,0,NA,0
2498,1272,1524,1988,6,16,198806,"［本番・税制改革］（上）自民の思惑　新税導入を最優先（連載） ","Y",2129,NA,1,10,198806,0,1,0,NA,0
2621,1286,1792,1988,6,26,198806,"消費税に反対６０％　自民案に厳しい目　朝日新聞世論調査","A",1100,1,NA,10,198806,0,1,0,NA,0
2690,1370,1646,1988,7,3,198807,"税制改革、家計負担の試算　自民と公民に大幅なズレ ","Y",331,NA,1,9,198806,0,1,0,NA,0
2708,1326,1854,1988,7,5,198807,"米価、引き下げやむなし　安倍幹事長","A",111,1,NA,9,198806,0,1,0,NA,0
2711,1329,1858,1988,7,5,198807,"米価、政治加算はせず　自民委、諮問前決着の方針","A",683,1,NA,9,198806,0,1,1,NA,0
2720,1385,1665,1988,7,5,198807,"税制改革関連法案の施行期日は法案ごと明記　自民党首脳表明 ","Y",135,NA,1,9,198806,0,1,1,NA,0
2762,1411,1696,1988,7,8,198807,"米価は自民党折衝前に諮問を　米審の中野会長、答申後に記者会見 ","Y",261,NA,1,9,198806,0,1,1,NA,0
2765,1414,1699,1988,7,8,198807,"臨時国会、１８日召集の線に　政府・自民８者協議で方針 ","Y",729,NA,1,9,198806,1,1,1,NA,0
2769,1418,1703,1988,7,8,198807,"リクルート関連株関与、自民党の安倍幹事長秘書が認める ","Y",177,NA,1,9,198806,0,1,1,NA,0
2773,1353,1891,1988,7,9,198807,"消費税の実施先延ばしも　渡辺自民政調会長が表明","A",579,1,NA,9,198807,0,1,0,NA,0
2779,1422,1708,1988,7,9,198807,"消費税の４月実施に固執せぬ　渡辺自民政調会長が表明 ","Y",461,NA,1,9,198807,0,1,0,NA,0
2809,1371,1917,1988,7,12,198807,"消費税の価格転嫁カルテル容認　中小企業を対象　自民調査会　","A",1471,1,NA,9,198807,0,1,0,0,1
2826,1449,1740,1988,7,13,198807,"税制国会召集問題　国対会談また物別れ　自民、きょう１３日にも決定へ ","Y",809,NA,1,9,198807,0,1,1,NA,0
2829,1379,1929,1988,7,14,198807,"召集日決定先送り　臨時国会で政府・自民","A",163,1,NA,9,198807,1,1,1,NA,0
2834,1452,1744,1988,7,14,198807,"臨時国会召集日の決定は１５日に延期　自民、野党となお折衝 ","Y",682,NA,1,9,198807,0,1,1,NA,0
2843,1387,1939,1988,7,15,198807,"６３年度減税切り離し　税制国会、野党の協力促す　政府・自民　","A",1645,1,NA,9,198807,1,1,1,NA,0
2846,1459,1752,1988,7,15,198807,"「減税切り離し」固める　冒頭処理案も浮上　税制審議保証が条件／政府・自民 ","Y",1465,NA,1,9,198807,1,1,0,NA,0
2860,1467,1762,1988,7,16,198807,"６３年度の減税規模は１兆４０００億円に／自民党 ","Y",643,NA,1,9,198807,0,1,1,NA,0
2870,1398,1957,1988,7,18,198807,"臨時国会、会期の幅は多少短縮も　安倍幹事長語る","A",475,1,NA,9,198807,0,1,1,NA,0
2875,1473,1771,1988,7,18,198807,"整備新幹線の部分着工　６４年度、３線同時に　政府・自民検討委が方針＝図付き ","Y",1251,NA,1,9,198807,1,1,0,0,1
2907,1419,1984,1988,7,21,198807,"減税協議持ち越し　自民、税率６０％復活など提示","A",790,1,NA,9,198807,0,1,0,NA,0
2911,1491,1792,1988,7,21,198807,"６３年度減税最高税率　自民党、６０％案を提示　公民評価、社は難色 ","Y",547,NA,1,9,198807,0,1,1,NA,0
2996,1533,1845,1988,7,29,198807,"全中の政治団体結成の動き、政治力拡大に自民の反発も（解説） ","Y",603,NA,1,9,198807,0,1,1,NA,0
3043,1556,1873,1988,8,2,198808,"「リクルート」非公開株譲渡　証人喚問拒否の動き強まる／政府・自民 ","Y",427,NA,1,6,198807,1,1,0,NA,0
3092,1580,1901,1988,8,6,198808,"リクルート問題、与野党きょう６日折衝　自民に特別委設置案も ","Y",928,NA,1,6,198808,0,1,1,NA,0
3213,1576,2203,1988,8,18,198808,"不公平税制是正へ４野党共同案　政府・自民、審議期待し柔軟","A",1642,1,NA,6,198808,1,1,1,NA,0
3222,1643,1975,1988,8,18,198808,"「盧政権の任期妨害せず」　金鍾泌・韓国共和党総裁と会見 ","Y",606,NA,1,6,198808,1,1,1,NA,0
3248,1591,2226,1988,8,21,198808,"税制改革、４野党案を歓迎　渡辺・自民政調会長が表明","A",963,1,NA,6,198808,0,1,1,NA,0
